Data Publisher	Dataset	Dataset Rights	Scientific name	Scientific name (interpreted)	Latitude	Longitude	GBIF portal url	
Missouri Botanical Garden	Missouri Botanical Garden		Oncinotis glabrata (Baill.) Stapf ex Hiern	Oncinotis glabrata (Baill.) Stapf ex Hiern			http://data.gbif.org/occurrences/321230539
Missouri Botanical Garden	Missouri Botanical Garden		Oxypetalum erectum Mart.	Oxypetalum erectum Mart.			http://data.gbif.org/occurrences/321284132
Missouri Botanical Garden	Missouri Botanical Garden		Oxypetalum banksii Schult.	Oxypetalum banksii Schult.			http://data.gbif.org/occurrences/321284260
Missouri Botanical Garden	Missouri Botanical Garden		Oxypetalum erectum Mart.	Oxypetalum erectum Mart.			http://data.gbif.org/occurrences/321284403
Missouri Botanical Garden	Missouri Botanical Garden		Philibertia parviflora var. parviflora	Philibertia parviflora var. parviflora			http://data.gbif.org/occurrences/321679358
Missouri Botanical Garden	Missouri Botanical Garden		Philibertia suberecta Goyder	Philibertia suberecta Goyder			http://data.gbif.org/occurrences/321679768
Missouri Botanical Garden	Missouri Botanical Garden		Plectaneia thouarsii Roem. & Schult.	Plectaneia thouarsii Roem. & Schult.			http://data.gbif.org/occurrences/321817925
Missouri Botanical Garden	Missouri Botanical Garden		Plumeria alba L.	Plumeria alba L.			http://data.gbif.org/occurrences/321839647
Missouri Botanical Garden	Missouri Botanical Garden		Polystemma guatemalense (Schltr.) W.D. Stevens	Polystemma guatemalense (Schltr.) W.D. Stevens			http://data.gbif.org/occurrences/321894089
Missouri Botanical Garden	Missouri Botanical Garden		Prestonia annularis (L. f.) G. Don	Prestonia annularis (L. f.) G. Don			http://data.gbif.org/occurrences/321930729
Missouri Botanical Garden	Missouri Botanical Garden		Rauvolfia tetraphylla L.	Rauvolfia tetraphylla L.			http://data.gbif.org/occurrences/322066269
Missouri Botanical Garden	Missouri Botanical Garden		Rauvolfia macrantha K. Schum. ex Markgr.	Rauvolfia macrantha K. Schum. ex Markgr.			http://data.gbif.org/occurrences/322066664
Missouri Botanical Garden	Missouri Botanical Garden		Rauvolfia verticillata (Lour.) Baill.	Rauvolfia verticillata (Lour.) Baill.			http://data.gbif.org/occurrences/322067217
Missouri Botanical Garden	Missouri Botanical Garden		Rhabdadenia biflora (Jacq.) Müll. Arg.	Rhabdadenia biflora (Jacq.) Müll. Arg.			http://data.gbif.org/occurrences/322075419
Missouri Botanical Garden	Missouri Botanical Garden		Tabernaemontana catharinensis A. DC.	Tabernaemontana catharinensis A. DC.			http://data.gbif.org/occurrences/322533981
Missouri Botanical Garden	Missouri Botanical Garden		Tabernaemontana coriacea Link ex Roem. & Schult.	Tabernaemontana coriacea Link ex Roem. & Schult.			http://data.gbif.org/occurrences/322534929
Missouri Botanical Garden	Missouri Botanical Garden		Tabernaemontana heterophylla Vahl	Tabernaemontana heterophylla Vahl			http://data.gbif.org/occurrences/322535057
Missouri Botanical Garden	Missouri Botanical Garden		Tabernaemontana coriacea Link ex Roem. & Schult.	Tabernaemontana coriacea Link ex Roem. & Schult.			http://data.gbif.org/occurrences/322535324
Missouri Botanical Garden	Missouri Botanical Garden		Tabernaemontana macrocalyx Müll. Arg.	Tabernaemontana macrocalyx Müll. Arg.			http://data.gbif.org/occurrences/322535734
Missouri Botanical Garden	Missouri Botanical Garden		Tabernaemontana undulata Vahl	Tabernaemontana undulata Vahl			http://data.gbif.org/occurrences/322537941
Musée national d'histoire naturelle Luxembourg	Biological and palaeontological collection and observation data MNHNL		Vincetoxicum hirundinaria Medik.	Vincetoxicum hirundinaria Medik.			http://data.gbif.org/occurrences/325757212
GBIF-Sweden	Botany (UPS)		Mandevilla boliviensis	Mandevilla boliviensis			http://data.gbif.org/occurrences/328154584
GBIF-Sweden	Botany (UPS)		Morreni	Morreni			http://data.gbif.org/occurrences/328170860
GBIF-Sweden	Botany (UPS)		Rauvolfia caffra	Rauvolfia caffra			http://data.gbif.org/occurrences/328274924
Oklahoma Vascular Plants Database Provider	Oklahoma Vascular Plants Database Provider		Asclepias syriaca L.	Asclepias syriaca L.			http://data.gbif.org/occurrences/331841699
Oklahoma Vascular Plants Database Provider	Oklahoma Vascular Plants Database Provider		Matelea gonocarpos (Walt.) Shinners	Matelea gonocarpos (Walt.) Shinners			http://data.gbif.org/occurrences/331852386
Senckenberg	Herbarium Senckenbergianum (FR)		Asclepias curassavica	Asclepias curassavica			http://data.gbif.org/occurrences/331861397
Tela-Botanica	Phytochorologie des départements français	Tela Botanica a choisi de publier par défaut son contenu sous licence libre Creative Commons (by-sa) afin d'en faciliter la divulgation : http://creativecommons.org/licenses/by-sa/2.0/fr/	Nerium oleander L.	Nerium oleander L.			http://data.gbif.org/occurrences/332389008
Tela-Botanica	Phytochorologie des départements français	Tela Botanica a choisi de publier par défaut son contenu sous licence libre Creative Commons (by-sa) afin d'en faciliter la divulgation : http://creativecommons.org/licenses/by-sa/2.0/fr/	Vinca major L.	Vinca major L.			http://data.gbif.org/occurrences/332476401
Tela-Botanica	Phytochorologie des départements français	Tela Botanica a choisi de publier par défaut son contenu sous licence libre Creative Commons (by-sa) afin d'en faciliter la divulgation : http://creativecommons.org/licenses/by-sa/2.0/fr/	Vinca major L. subsp. major	Vinca major subsp. major			http://data.gbif.org/occurrences/332476540
Tela-Botanica	Phytochorologie des départements français	Tela Botanica a choisi de publier par défaut son contenu sous licence libre Creative Commons (by-sa) afin d'en faciliter la divulgation : http://creativecommons.org/licenses/by-sa/2.0/fr/	Vincetoxicum hirundinaria Medik.	Vincetoxicum hirundinaria Medik.			http://data.gbif.org/occurrences/332476668
Tela-Botanica	Phytochorologie des départements français	Tela Botanica a choisi de publier par défaut son contenu sous licence libre Creative Commons (by-sa) afin d'en faciliter la divulgation : http://creativecommons.org/licenses/by-sa/2.0/fr/	Vincetoxicum hirundinaria Medik.	Vincetoxicum hirundinaria Medik.			http://data.gbif.org/occurrences/332476683
Tela-Botanica	Phytochorologie des départements français	Tela Botanica a choisi de publier par défaut son contenu sous licence libre Creative Commons (by-sa) afin d'en faciliter la divulgation : http://creativecommons.org/licenses/by-sa/2.0/fr/	Vincetoxicum nigrum (L.) Moench	Vincetoxicum nigrum (L.) Moench			http://data.gbif.org/occurrences/332476811
Herbario de la Universidad de Granada	Universidad de Granada, Herbario: GDA		Periploca laevigata Aiton	Periploca laevigata Aiton			http://data.gbif.org/occurrences/344812925
GBIF-Sweden	Botany (UPS)		Anodendron rhiosporum	Anodendron rhiosporum			http://data.gbif.org/occurrences/351705648
GBIF-Sweden	Botany (UPS)		Asclepias currassavica	Asclepias currassavica			http://data.gbif.org/occurrences/351719618
GBIF-Sweden	Botany (UPS)		Dregea schimperi	Dregea schimperi			http://data.gbif.org/occurrences/351924339
GBIF-Sweden	Botany (UPS)		Echites tubulosa	Echites tubulosa			http://data.gbif.org/occurrences/351932951
GBIF-Sweden	Botany (UPS)		Gymnema sylvestre	Gymnema sylvestre			http://data.gbif.org/occurrences/351997220
GBIF-Sweden	Botany (UPS)		Hoya diptera	Hoya diptera			http://data.gbif.org/occurrences/352009382
TELDAP	Plantae, TAIF (Taiwan e-Learning and Digital Archives Program, TELDAP)		Biondia henryi (Warb. ex Schltr. & Diels) Tsiang & P. T. Li	Biondia henryi (Warb. ex Schltr. & Diels) Tsiang & P. T. Li			http://data.gbif.org/occurrences/353051231
TELDAP	Plantae, TAIF (Taiwan e-Learning and Digital Archives Program, TELDAP)		Cynanchum lanhsuense Yamazaki	Cynanchum lanhsuense Yamazaki			http://data.gbif.org/occurrences/353083629
TELDAP	Plantae, TAIF (Taiwan e-Learning and Digital Archives Program, TELDAP)		Dischidia sp.	Dischidia			http://data.gbif.org/occurrences/353095125
TELDAP	Plantae, TAIF (Taiwan e-Learning and Digital Archives Program, TELDAP)		Gymnema tingens Roxb. ex Spreng.	Gymnema tingens Roxb. ex Spreng.			http://data.gbif.org/occurrences/353122754
TELDAP	Plantae, TAIF (Taiwan e-Learning and Digital Archives Program, TELDAP)		Rauvolfia verticillata (Lour.) Baillon	Rauvolfia verticillata (Lour.) Baillon			http://data.gbif.org/occurrences/353204108
TELDAP	Plantae, TAIF (Taiwan e-Learning and Digital Archives Program, TELDAP)		Tylophora ovata (Lindl.) Hook. ex Steud.	Tylophora ovata (Lindl.) Hook. ex Steud.			http://data.gbif.org/occurrences/353248017
GBIF-Spain	Fundación Carl Faust: Herbario del Jardí Botànic Marimurtra: HMIM		Gomphocarpus fruticosus (L.) W. T. Aiton	Gomphocarpus fruticosus (L.) W. T. Aiton			http://data.gbif.org/occurrences/357477108
GBIF-Spain	Fundación Carl Faust: Herbario del Jardí Botànic Marimurtra: HMIM		Vincetoxicum nigrum (L.) Moench	Vincetoxicum nigrum (L.) Moench			http://data.gbif.org/occurrences/357481888
Tela-Botanica	Carnet en Ligne	Tela Botanica a choisi de publier par défaut son contenu sous licence libre Creative Commons (by-sa) afin d'en faciliter la divulgation : http://creativecommons.org/licenses/by-sa/2.0/fr/	Nerium oleander L.	Nerium oleander L.			http://data.gbif.org/occurrences/358987884
Bundesamt für Naturschutz / Netzwerk Phytodiversität Deutschland	VegetWeb: Datenbank der Sektion Vegetationsdatenbanken im Netzwerk Phytodiversität Deutschland (NetPhyD)		Vincetoxicum hirundinaria	Vincetoxicum hirundinaria			http://data.gbif.org/occurrences/364100984
Bundesamt für Naturschutz / Netzwerk Phytodiversität Deutschland	VegetWeb: Datenbank der Sektion Vegetationsdatenbanken im Netzwerk Phytodiversität Deutschland (NetPhyD)		Vincetoxicum hirundinaria	Vincetoxicum hirundinaria			http://data.gbif.org/occurrences/364101112
Bundesamt für Naturschutz / Netzwerk Phytodiversität Deutschland	VegetWeb: Datenbank der Sektion Vegetationsdatenbanken im Netzwerk Phytodiversität Deutschland (NetPhyD)		Vinca minor	Vinca minor			http://data.gbif.org/occurrences/364101665
Natural History Museum, Vienna - Herbarium W	Natural History Museum, Vienna - Herbarium W		Gomphocarpus abyssinicus Decne.	Gomphocarpus abyssinicus Decne.			http://data.gbif.org/occurrences/367042119
Comisión nacional para el conocimiento y uso de la biodiversidad	Colección científica del Museo de Historia Natural Alfredo Dugés		Nerium oleander L., 1753	Nerium oleander L., 1753			http://data.gbif.org/occurrences/371105168
HERBARIUM AMAZONENSE – AMAZ	Herbarium Amazonense		Aspidosperma sp.	Aspidosperma			http://data.gbif.org/occurrences/373406411
HERBARIUM AMAZONENSE – AMAZ	Herbarium Amazonense		Forsteronia acouci	Forsteronia acouci			http://data.gbif.org/occurrences/373480511
HERBARIUM AMAZONENSE – AMAZ	Herbarium Amazonense		Lacmellea sp.	Lacmellea			http://data.gbif.org/occurrences/373504436
HERBARIUM AMAZONENSE – AMAZ	Herbarium Amazonense		Rauvolfia andina	Rauvolfia andina			http://data.gbif.org/occurrences/373563940
