identifier	XCOOR	YCOOR
N_Andes	-79.2738422	-1.430214618
N_Andes	-79.20946699	-1.204901404
N_Andes	-79.20946699	-0.754274976
N_Andes	-79.20946699	-0.239273343
N_Andes	-79.17727939	-0.013960129
N_Andes	-79.11290419	0.307915891
N_Andes	-78.85540337	0.629791912
N_Andes	-78.56571495	1.016043136
N_Andes	-78.40477694	1.337919156
N_Andes	-78.17946373	1.498857166
N_Andes	-77.88977531	1.531044768
N_Andes	-77.8254001	1.788545585
N_Andes	-77.6966497	2.078234003
N_Andes	-77.56789929	2.367922421
N_Andes	-77.31039847	2.625423237
N_Andes	-77.05289766	2.850736451
N_Andes	-77.08508526	3.043862064
N_Andes	-77.02071005	3.204800074
N_Andes	-76.82758444	3.687614104
N_Andes	-76.69883403	4.073865329
N_Andes	-76.57008363	4.395741349
N_Andes	-76.60227123	4.781992573
N_Andes	-76.44133322	5.039493389
N_Andes	-76.31258281	5.52230742
N_Andes	-76.50570842	5.84418344
N_Andes	-76.60227123	6.198247062
N_Andes	-76.60227123	6.520123083
N_Andes	-76.60227123	6.841999103
N_Andes	-76.50570842	7.260437929
N_Andes	-76.60227123	7.614501552
N_Andes	-76.63445883	8.032940378
